Rig_изм, Rig_ист
  1.7630,  1.8485
  0.7180,  0.7132
  7.0610,  7.2409
  2.7870,  2.7266
  5.5500,  5.6469
  3.6550,  3.6471
  2.5500,  2.5119
  0.7520,  0.7554
  2.1370,  2.2356
  1.9180,  1.9637
  0.4110,  0.4551
  1.9280,  1.9765
  3.5610,  3.5923
  0.8860,  0.9388
  1.9450,  2.0783
  4.0070,  3.8728
  3.0990,  3.0731
  1.7270,  1.7824
  5.3190,  5.4230
  3.6530,  3.5294
  2.1370,  2.1419
  1.8710,  1.8903
  0.4550,  0.4925
  2.9620,  2.9318
  2.6320,  2.6458
  1.5720,  1.6173
  1.2940,  1.3016
  1.8690,  1.9582
  0.5980,  0.6466
  1.4980,  1.4823
  0.6620,  0.6860
  2.9270,  2.8596
  1.4450,  1.4037
  1.8820,  1.8449
  8.0860,  8.3540
  1.9830,  1.9688
  2.5840,  2.6547
  2.2170,  2.2169
  3.6780,  3.5634
  4.2150,  4.3579
  1.7740,  1.8304
  1.8200,  1.7236
 19.9720, 18.2417
  0.5720,  0.6074
  0.7180,  0.7433
  2.2320,  2.3249
  1.3640,  1.3581
  2.5460,  2.7631
  4.4860,  4.7682
  2.0450,  2.0622
 12.3540, 11.9967
  1.1180,  1.1327
  2.3110,  2.3466
 11.3060, 11.7928
  3.3670,  3.4083
 11.8850, 11.9131
  1.5590,  1.5524
  2.5930,  2.6766
  0.5250,  0.6132
  3.0120,  2.9648
  1.0820,  1.0807
  2.1040,  2.1018
  2.6400,  2.7161
  2.6600,  2.6179
  2.7550,  2.8317
  0.8380,  0.8710
  2.8400,  2.8079
  2.2840,  2.3307
  0.6360,  0.6541
  1.0410,  1.0415
  1.7080,  1.7567
 12.9320, 12.9175
  0.7250,  0.7296
  1.1770,  1.1582
  3.6220,  3.6101
  0.6410,  0.6732
  0.9000,  1.0685
  3.0270,  3.0117
  1.7070,  1.7237
  5.7290,  5.9145
  0.9650,  1.0231
 11.2990, 11.2001
  4.7610,  4.7638
  0.6560,  0.6469
  7.5940,  7.3921
  1.4880,  1.5851
  1.3160,  1.3747
  2.8560,  2.8025
  1.3660,  1.2428
  0.6110,  0.6702
  5.6730,  5.2962
  1.7920,  1.9377
  9.0060,  8.6754
  1.0250,  1.0421
  1.2700,  1.2852
  2.6670,  2.5240
  2.0290,  1.8899
  2.5170,  2.4672
  1.0560,  1.1538
  2.1600,  2.0917
 19.0360, 18.1370
  1.7800,  1.7265
  2.4570,  2.5045
  0.6070,  0.6453
  3.1700,  3.2855
  3.5570,  3.3473
  0.8350,  0.8764
  2.1760,  2.0979
  1.1860,  1.2876
  6.2890,  6.0725
  1.0810,  1.1135
  0.8350,  0.8311
  1.1160,  1.1190
  2.1600,  2.2039
  3.0350,  3.2708
 14.9850, 15.2761
 16.1550, 16.1692
  0.8500,  0.8847
  4.2160,  4.4483
  1.3220,  1.1076
  0.6280,  0.6744
  3.8640,  3.8393
  3.8840,  3.9545
  1.2240,  1.1864
  4.2320,  4.1414
  1.3530,  1.3790
  4.4750,  4.4362
  0.6680,  0.6774
  2.9810,  3.0597
  0.4240,  0.4664
  1.3280,  1.3614
  0.5390,  0.5804
  2.5400,  2.5280
  2.1820,  1.7128
  0.4230,  0.5101
  5.4720,  5.0858
  0.4350,  0.4666
  2.7500,  2.5953
  0.7150,  0.7611
  2.0930,  2.0316
  4.6270,  4.5524
  0.7320,  0.7633
  3.4300,  3.3267
  0.5650,  0.5943
  3.6370,  3.6679
  0.5410,  0.5614
  1.1220,  1.2179
  7.9250,  8.2698
  0.4700,  0.5072
  0.5190,  0.6004
  1.2260,  1.1982
 12.4780, 13.0750
  1.7810,  1.7921
  3.3190,  3.2015
  3.0190,  2.9936
  2.6910,  2.5440
  3.1180,  3.1859
  0.4000,  0.4714
  1.0360,  1.0284
  1.5830,  1.5832
  1.1440,  1.1118
  1.5420,  1.5645
  0.7510,  0.7432
  0.6950,  0.7535
  1.5560,  1.5043
  0.6340,  0.6416
  0.7380,  0.7462
  0.7840,  0.7951
  0.8710,  0.8687
  1.0990,  1.1083
  1.5550,  1.6210
  1.7090,  1.7068
  6.7690,  6.5934
  1.7410,  1.7300
  2.2830,  2.3389
  4.2760,  4.3843
  3.1830,  2.9881
  0.7920,  0.8607
  0.4380,  0.4652
  7.0020,  6.8066
  3.2000,  3.2328
  1.2550,  1.2070
  9.9590,  9.9262
 16.2950, 17.7991
  0.7810,  0.7786
  1.1970,  1.2763
  1.1040,  1.0770
  6.2890,  6.0419
  3.2610,  3.3649
  0.7190,  0.7506
  0.7220,  0.7409
  2.7440,  2.5946
  1.3930,  1.4032
  2.2520,  2.3295
  1.7040,  1.6160
  1.7730,  1.6756
  0.8780,  0.9005
  1.9610,  1.9474
  3.0310,  3.1004
  2.1630,  2.1737
  2.7000,  2.7641
  3.7700,  3.8388
  0.8220,  0.8089
  0.4530,  0.5139
  0.5550,  0.6066
  1.2750,  1.3089
  1.4090,  1.4117
  3.2540,  3.3404
  2.4940,  2.4359
  1.1330,  1.1898
  1.3660,  1.3929
  3.9850,  4.0295
  2.9930,  2.9616
  3.3750,  3.5180
  1.1710,  1.2380
  1.1210,  1.1473
  2.2560,  2.2972
  2.7050,  2.7201
  0.7700,  0.7951
  3.0980,  3.0857
  1.8790,  1.9568
  1.1760,  1.1797
  1.1110,  1.0888
 14.1060, 13.8489
  0.8480,  0.8795
  0.5010,  0.5413
  5.3810,  5.3952
  0.5080,  0.5330
  0.8900,  0.9212
  0.7830,  0.8286
  3.0740,  3.0359
  1.7880,  1.7734
  7.1420,  7.2583
 15.4920, 15.0447
