Rig_изм, Rig_ист
  0.7180,  0.7132
  0.7520,  0.7554
  0.4110,  0.4551
  0.8860,  0.9388
  0.4550,  0.4925
  0.5980,  0.6466
  0.6620,  0.6860
  0.5720,  0.6074
  0.7180,  0.7433
  0.5250,  0.6132
  0.8380,  0.8710
  0.6360,  0.6541
  0.7250,  0.7296
  0.6410,  0.6732
  0.6560,  0.6469
  0.6110,  0.6702
  0.6070,  0.6453
  0.8350,  0.8764
  0.8350,  0.8311
  0.8500,  0.8847
  0.6280,  0.6744
  0.6680,  0.6774
  0.4240,  0.4664
  0.4230,  0.5101
  0.4350,  0.4666
  0.7150,  0.7611
  0.7320,  0.7633
  0.5650,  0.5943
  0.5410,  0.5614
  0.4700,  0.5072
  0.5190,  0.6004
  0.4000,  0.4714
  0.7510,  0.7432
  0.6950,  0.7535
  0.6340,  0.6416
  0.7380,  0.7462
  0.7840,  0.7951
  0.8710,  0.8687
  0.7920,  0.8607
  0.4380,  0.4652
  0.7810,  0.7786
  0.7190,  0.7506
  0.7220,  0.7409
  0.8780,  0.9005
  0.8220,  0.8089
  0.4530,  0.5139
  0.5550,  0.6066
  0.7700,  0.7951
  0.8480,  0.8795
  0.5010,  0.5413
  0.5080,  0.5330
  0.8900,  0.9212
  0.7830,  0.8286
  0.8020,  0.7359
  0.7090,  0.7003
  0.7660,  0.7579
  0.9230,  0.9300
  0.8510,  0.7810
  0.8250,  0.8285
  0.8390,  0.8002
  0.4010,  0.4831
  0.5270,  0.5342
